row_idx,prompt,correct,raw_score
101,How many moving cubes are there?,1,1.0
102,What material is the object to collide with the brown object?,1,1.0
103,What color is the object to collide with the brown object?,1,1.0
104,What color is the last object that enters the scene?,1,1.0
105,What is the shape of the object that is stationary when the red object enters the scene?,1,1.0
106,What material is the stationary sphere when the red sphere enters the scene?,1,1.0
107,Are there any blue objects that enter the scene before the blue sphere exits the scene?,0,0.0
108,How many blue objects exit the scene after the red object enters the scene?,1,1.0
109,How many collisions happen before the cube enters the scene?,1,1.0
110,Are there any moving red objects when the video ends?,1,1.0
111,How many moving spheres are there when the video begins?,1,1.0
112,How many stationary metal objects are there when the video begins?,1,1.0
113,What material is the last object that enters the scene?,1,1.0
114,What is the material of the last object to collide with the red cylinder?,1,1.0
115,What is the material of the last object to collide with the red object?,1,1.0
116,What color is the sphere that is stationary when the red cylinder enters the scene?,1,1.0
117,What color is the rubber cylinder that is stationary when the red cylinder enters the scene?,1,1.0
118,Are there any metal cubes that enter the scene before the red cylinder enters the scene?,1,1.0
119,How many collisions happen after the red cylinder enters the scene?,1,1.0
120,How many collisions happen after the gray sphere enters the scene?,1,1.0
121,Are there any moving brown objects when the red cube enters the scene?,1,1.0
122,How many metal objects are moving when the red object enters the scene?,1,1.0
123,How many moving spheres are there when the video ends?,1,1.0
124,What is the color of the last object to collide with the green cube?,0,0.0
125,What is the color of the last object to collide with the cylinder?,0,0.0
126,What is the color of the first object to collide with the green cube?,1,1.0
127,What is the color of the stationary object when the video ends?,0,0.0
128,What is the shape of the object that is stationary when the metal cube enters the scene?,1,1.0
129,Are there any rubber objects that exit the scene?,1,1.0
130,How many rubber cubes enter the scene before the green cube enters the scene?,1,1.0
131,How many metal objects enter the scene before the red cube enters the scene?,1,1.0
132,Are there any moving rubber objects when the metal sphere enters the scene?,1,1.0
133,How many cylinders are stationary when the video begins?,0,0.0
134,How many stationary cylinders are there?,0,0.0
135,What shape is the object to collide with the metal cube?,1,1.0
136,What is the color of the object to collide with the brown cylinder?,1,1.0
137,What material is the last object that enters the scene?,1,1.0
138,What shape is the metal object that is stationary when the gray sphere enters the scene?,1,1.0
139,What is the color of the cylinder that is moving?,1,1.0
140,Are there any rubber cylinders that enter the scene?,1,1.0
141,How many collisions happen?,1,1.0
142,How many rubber objects enter the scene?,1,1.0
143,Are there any moving brown objects?,1,1.0
144,How many moving cubes are there when the video begins?,0,0.0
145,How many objects are stationary when the video ends?,1,1.0
146,What color is the object to collide with the rubber object?,1,1.0
147,What color is the second object to collide with the red object?,1,1.0
148,What shape is the object to collide with the yellow cube?,1,1.0
149,What is the material of the cube that is moving when the video ends?,1,1.0
150,What is the material of the stationary object when the video begins?,0,0.0
151,Are there any yellow objects that enter the scene?,1,1.0
152,How many objects enter the scene?,1,1.0
153,How many purple cylinders enter the scene before the sphere enters the scene?,1,1.0
154,Are there any moving red objects when the video begins?,1,1.0
155,How many spheres are stationary when the gray object enters the scene?,1,1.0
156,How many moving metal objects are there when the video ends?,0,0.0
157,What color is the object to collide with the red cylinder?,1,1.0
158,What color is the last object to collide with the cyan object?,1,1.0
159,What shape is the first object that enters the scene?,0,0.0
160,What is the color of the sphere that is moving when the gray object enters the scene?,1,1.0
161,What shape is the moving metal object when the video begins?,0,0.0
162,Are there any rubber objects that exit the scene after the cube enters the scene?,1,1.0
163,How many metal spheres enter the scene?,1,1.0
164,How many collisions happen?,0,0.0
165,Are there any stationary cylinders when the video begins?,1,1.0
166,How many stationary metal objects are there when the video begins?,1,1.0
167,How many stationary spheres are there when the yellow object enters the scene?,1,1.0
168,What is the shape of the last object to collide with the yellow cylinder?,1,1.0
169,What color is the last object to collide with the yellow cylinder?,1,1.0
170,What is the color of the second object that enters the scene?,0,0.0
171,What color is the stationary rubber object when the yellow cylinder enters the scene?,1,1.0
172,What shape is the moving rubber object when the video ends?,1,1.0
173,Are there any rubber spheres that enter the scene after the yellow cylinder enters the scene?,1,1.0
174,How many metal cylinders enter the scene before the sphere enters the scene?,1,1.0
175,How many cylinders enter the scene before the sphere enters the scene?,1,1.0
176,Are there any stationary green objects?,1,1.0
177,How many objects are stationary when the brown object enters the scene?,1,1.0
178,How many objects are moving when the video ends?,0,0.0
179,What is the color of the last object that enters the scene?,1,1.0
180,What is the shape of the first object to collide with the brown cube?,1,1.0
181,What color is the object to collide with the metal cylinder?,0,0.0
182,What material is the yellow object that is stationary when the brown cube enters the scene?,1,1.0
183,What shape is the rubber object that is stationary?,1,1.0
184,Are there any green spheres that enter the scene after the brown cube enters the scene?,1,1.0
185,How many yellow cubes enter the scene after the yellow cylinder enters the scene?,1,1.0
186,How many brown cubes enter the scene?,1,1.0
187,Are there any moving green objects when the video begins?,1,1.0
188,How many objects are moving?,0,0.0
189,How many objects are moving when the video ends?,0,0.0
190,What shape is the last object to collide with the metal cylinder?,1,1.0
191,What is the color of the first object to collide with the metal cylinder?,1,1.0
192,What material is the object to collide with the red sphere?,1,1.0
193,What color is the stationary metal cube when the metal sphere enters the scene?,1,1.0
194,What shape is the moving object when the video begins?,1,1.0
195,Are there collisions after the metal sphere enters the scene?,1,1.0
196,How many collisions happen?,1,1.0
197,How many collisions happen after the metal sphere enters the scene?,0,0.0
198,Are there any moving brown objects when the gray cylinder enters the scene?,1,1.0
199,How many stationary objects are there when the gray cylinder enters the scene?,1,1.0
200,How many cyan objects are stationary when the video ends?,1,1.0
201,What is the color of the first object to collide with the metal cylinder?,0,0.0
202,What color is the last object that enters the scene?,1,1.0
203,What is the color of the first object to collide with the gray cylinder?,0,0.0
204,What is the material of the cylinder that is stationary when the gray object enters the scene?,1,1.0
205,What color is the metal object that is stationary when the cube enters the scene?,1,1.0
206,Are there any cubes that enter the scene?,1,1.0
207,How many collisions happen after the cube enters the scene?,1,1.0
208,How many collisions happen?,1,1.0
209,Are there any moving green objects?,1,1.0
210,How many stationary spheres are there when the gray cylinder enters the scene?,1,1.0
211,How many gray objects are moving?,1,1.0
212,What is the color of the last object that enters the scene?,1,1.0
213,What color is the object to collide with the rubber cube?,1,1.0
214,What is the shape of the last object to collide with the purple object?,1,1.0
215,What is the shape of the stationary object when the video begins?,1,1.0
216,What color is the stationary cube when the rubber cylinder enters the scene?,1,1.0
217,Are there any cylinders that enter the scene?,1,1.0
218,How many objects enter the scene?,0,0.0
219,How many collisions happen?,1,1.0
220,Are there any moving metal objects when the cube exits the scene?,0,0.0
221,How many objects are stationary when the video ends?,1,1.0
222,How many gray objects are moving when the metal cylinder enters the scene?,1,1.0
223,What color is the first object to collide with the blue sphere?,1,1.0
224,What color is the last object to collide with the rubber cylinder?,1,1.0
225,What shape is the first object to collide with the blue object?,1,1.0
226,What is the shape of the stationary gray object when the video begins?,1,1.0
227,What material is the object that is moving when the video begins?,1,1.0
228,Are there any rubber objects that exit the scene before the red object enters the scene?,1,1.0
229,How many collisions happen after the red object enters the scene?,1,1.0
230,How many collisions happen before the metal object enters the scene?,1,1.0
231,Are there any stationary rubber objects when the video ends?,0,0.0
232,How many moving objects are there when the video begins?,0,0.0
233,How many moving rubber objects are there when the video begins?,1,1.0
234,What shape is the last object to collide with the brown cylinder?,0,0.0
235,What color is the first object to collide with the gray cylinder?,0,0.0
236,What shape is the first object to collide with the gray object?,0,0.0
237,What color is the stationary object when the video begins?,1,1.0
238,What material is the moving cube when the video begins?,1,1.0
239,Are there collisions?,1,1.0
240,How many objects enter the scene?,1,1.0
241,How many collisions happen?,1,1.0
242,Are there any moving metal objects when the cylinder exits the scene?,0,0.0
243,How many moving objects are there when the video ends?,0,0.0
244,How many blue objects are stationary when the blue sphere enters the scene?,1,1.0
245,What is the color of the first object to collide with the purple sphere?,1,1.0
246,What is the color of the object to collide with the cylinder?,1,1.0
247,What shape is the object to collide with the blue sphere?,1,1.0
248,What is the shape of the metal object that is moving when the video ends?,1,1.0
249,What material is the brown object that is moving when the video ends?,1,1.0
250,Are there any cylinders that exit the scene?,1,1.0
251,How many metal cubes enter the scene?,1,1.0
252,How many collisions happen?,1,1.0
253,Are there any stationary cylinders when the cube enters the scene?,1,1.0
254,How many moving rubber objects are there when the video ends?,1,1.0
255,How many moving metal objects are there when the video ends?,0,0.0
256,What material is the object to collide with the gray cube?,1,1.0
257,What is the material of the first object that enters the scene?,1,1.0
258,What color is the last object to collide with the brown object?,1,1.0
259,What material is the moving gray object when the cyan object enters the scene?,1,1.0
260,What is the color of the stationary object?,1,1.0
261,Are there any objects that exit the scene?,1,1.0
262,How many metal objects enter the scene?,1,1.0
263,How many objects enter the scene?,1,1.0
264,Are there any stationary red objects?,1,1.0
265,How many moving rubber objects are there?,1,1.0
266,How many moving objects are there when the video begins?,1,1.0
267,What is the color of the last object that exits the scene?,0,0.0
268,What material is the object to collide with the metal sphere?,1,1.0
269,What is the color of the last object to collide with the gray cylinder?,1,1.0
270,What material is the cylinder that is moving when the gray cylinder exits the scene?,1,1.0
271,What shape is the metal object that is moving when the video ends?,1,1.0
272,Are there any green spheres that exit the scene?,1,1.0
273,How many metal cylinders enter the scene before the metal cylinder exits the scene?,1,1.0
274,How many objects enter the scene?,1,1.0
275,Are there any moving objects when the video begins?,1,1.0
276,How many metal objects are moving?,0,0.0
277,How many stationary rubber objects are there when the video begins?,1,1.0
278,What shape is the object to collide with the gray cylinder?,1,1.0
279,What shape is the object to collide with the sphere?,1,1.0
280,What is the material of the first object to collide with the purple object?,1,1.0
281,What is the shape of the stationary object when the video begins?,0,0.0
282,What material is the object that is stationary when the video begins?,1,1.0
283,Are there any blue objects that enter the scene?,0,0.0
284,How many collisions happen?,1,1.0
285,How many red spheres exit the scene?,1,1.0
286,Are there any stationary red objects when the video begins?,1,1.0
287,How many moving objects are there?,0,0.0
288,How many rubber objects are stationary when the sphere enters the scene?,1,1.0
289,What shape is the first object to collide with the rubber sphere?,0,0.0
290,What is the shape of the last object to collide with the sphere?,1,1.0
291,What is the material of the first object to collide with the red object?,1,1.0
292,What shape is the moving object when the video begins?,1,1.0
293,What is the material of the cylinder that is stationary when the video ends?,1,1.0
294,Are there any spheres that enter the scene?,1,1.0
295,How many objects enter the scene?,1,1.0
296,How many purple spheres enter the scene?,1,1.0
297,Are there any stationary cyan objects when the video ends?,0,0.0
298,How many stationary purple objects are there when the sphere enters the scene?,1,1.0
299,How many green objects are moving?,0,0.0
300,What material is the last object that enters the scene?,1,1.0
301,What is the color of the last object that enters the scene?,0,0.0
302,What is the color of the object to collide with the purple object?,1,1.0
303,What is the shape of the green object that is stationary when the cylinder enters the scene?,1,1.0
304,What shape is the rubber object that is stationary when the cyan object enters the scene?,1,1.0
305,Are there any rubber objects that enter the scene before the sphere enters the scene?,1,1.0
306,How many collisions happen?,1,1.0
307,How many green spheres enter the scene?,1,1.0
308,Are there any stationary cubes when the video begins?,1,1.0
309,How many cylinders are moving?,1,1.0
310,How many moving objects are there when the video ends?,1,1.0
311,What color is the first object to collide with the metal sphere?,1,1.0
312,What is the shape of the last object to collide with the gray object?,1,1.0
313,What color is the last object to collide with the metal object?,1,1.0
314,What color is the moving rubber cube when the video ends?,0,0.0
315,What color is the object that is stationary when the video begins?,1,1.0
316,Are there any objects that enter the scene before the metal object exits the scene?,1,1.0
317,How many collisions happen after the metal sphere enters the scene?,1,1.0
318,How many objects enter the scene before the metal sphere exits the scene?,1,1.0
319,Are there any moving blue objects when the red sphere exits the scene?,1,1.0
320,How many objects are moving?,0,0.0
321,How many moving spheres are there when the green object enters the scene?,1,1.0
322,What material is the last object to collide with the gray sphere?,1,1.0
323,What is the shape of the second object to collide with the rubber object?,1,1.0
324,What material is the object to collide with the red sphere?,1,1.0
325,What is the material of the red object that is moving when the video ends?,1,1.0
326,What material is the stationary red object when the video begins?,1,1.0
327,Are there any red cylinders that enter the scene before the red sphere exits the scene?,1,1.0
328,How many collisions happen after the red cylinder enters the scene?,1,1.0
329,How many collisions happen after the green cylinder enters the scene?,1,1.0
330,Are there any moving green objects when the video ends?,1,1.0
331,How many rubber objects are moving when the video begins?,1,1.0
332,How many metal objects are moving?,1,1.0
333,What is the shape of the first object to collide with the green cylinder?,1,1.0
334,What is the material of the object to collide with the red sphere?,1,1.0
335,What material is the first object to collide with the green object?,1,1.0
336,What material is the stationary object when the video begins?,1,1.0
337,What is the color of the object that is stationary when the video begins?,0,0.0
338,Are there any blue spheres that enter the scene after the red object enters the scene?,1,1.0
339,How many spheres enter the scene?,1,1.0
340,How many collisions happen?,1,1.0
341,Are there any stationary blue objects when the green cube enters the scene?,1,1.0
342,How many spheres are moving when the video ends?,0,0.0
343,How many stationary objects are there?,1,1.0
344,What is the shape of the first object to collide with the brown object?,1,1.0
345,What is the material of the object to collide with the green cube?,1,1.0
346,What is the material of the object to collide with the cylinder?,1,1.0
347,What color is the metal sphere that is moving?,1,1.0
348,What material is the cube that is stationary when the video ends?,1,1.0
349,Are there any brown objects that enter the scene?,1,1.0
350,How many metal objects enter the scene after the green cube enters the scene?,1,1.0
351,How many collisions happen before the green cube enters the scene?,1,1.0
352,Are there any moving brown objects when the red cube enters the scene?,1,1.0
353,How many metal objects are stationary when the purple cube enters the scene?,1,1.0
354,How many moving objects are there when the video ends?,0,0.0
355,What is the color of the first object to collide with the brown cube?,1,1.0
356,What material is the last object that enters the scene?,1,1.0
357,What is the material of the object to collide with the sphere?,1,1.0
358,What is the color of the rubber cube that is moving when the metal object enters the scene?,1,1.0
359,What shape is the stationary object?,1,1.0
360,Are there any red cubes that enter the scene?,1,1.0
361,How many cubes enter the scene?,0,0.0
362,How many metal objects enter the scene before the purple cube enters the scene?,1,1.0
363,Are there any stationary cylinders?,1,1.0
364,How many cubes are moving when the video ends?,1,1.0
365,How many metal objects are stationary?,1,1.0
366,What is the color of the object to collide with the red object?,1,1.0
367,What color is the last object to collide with the blue cube?,1,1.0
368,What color is the last object that enters the scene?,0,0.0
369,What is the color of the object that is stationary when the video ends?,0,0.0
370,What is the shape of the blue object that is stationary when the rubber sphere enters the scene?,1,1.0
371,Are there collisions after the blue sphere enters the scene?,1,1.0
372,How many collisions happen after the gray sphere enters the scene?,1,1.0
373,How many spheres enter the scene?,1,1.0
374,Are there any moving red objects?,1,1.0
375,How many stationary objects are there when the video begins?,1,1.0
376,How many objects are moving when the video ends?,0,0.0
377,What is the shape of the last object to collide with the brown object?,1,1.0
378,What color is the object to collide with the rubber cylinder?,1,1.0
379,What material is the last object to collide with the brown object?,1,1.0
380,What is the material of the stationary red object when the video begins?,0,0.0
381,What shape is the moving red object?,1,1.0
382,Are there collisions?,1,1.0
383,How many spheres enter the scene?,1,1.0
384,How many objects enter the scene?,1,1.0
385,Are there any moving spheres?,1,1.0
386,How many moving objects are there?,1,1.0
387,How many cubes are moving when the video ends?,1,1.0
388,What is the material of the object to collide with the gray cylinder?,1,1.0
389,What material is the last object that enters the scene?,1,1.0
390,What material is the object to collide with the rubber cylinder?,1,1.0
391,What is the color of the stationary cylinder when the gray object enters the scene?,1,1.0
392,What shape is the stationary red object when the gray object enters the scene?,1,1.0
393,Are there any rubber objects that enter the scene before the red metal object enters the scene?,1,1.0
394,How many collisions happen?,1,1.0
395,How many objects enter the scene?,1,1.0
396,Are there any moving rubber objects when the purple sphere enters the scene?,1,1.0
397,How many spheres are stationary when the video begins?,1,1.0
398,How many objects are stationary?,1,1.0
399,What shape is the object to collide with the yellow sphere?,1,1.0
400,What is the shape of the first object to collide with the green sphere?,1,1.0
401,What is the shape of the object to collide with the purple sphere?,0,0.0
402,What is the color of the stationary metal object?,1,1.0
403,What is the color of the moving cube when the video ends?,1,1.0
404,Are there any objects that exit the scene after the purple cube enters the scene?,1,1.0
405,How many green objects enter the scene before the purple sphere enters the scene?,1,1.0
406,How many collisions happen after the purple sphere enters the scene?,1,1.0
407,Are there any stationary spheres when the video begins?,1,1.0
408,How many rubber objects are moving?,0,0.0
409,How many moving objects are there?,0,0.0
410,What is the shape of the first object to collide with the red cylinder?,1,1.0
411,What is the color of the last object to collide with the red cylinder?,1,1.0
412,What is the shape of the first object to collide with the yellow sphere?,1,1.0
413,What color is the object that is moving when the video begins?,1,1.0
414,What is the color of the cylinder that is moving when the video begins?,1,1.0
415,Are there any rubber objects that exit the scene?,1,1.0
416,How many collisions happen after the yellow sphere enters the scene?,1,1.0
417,How many objects enter the scene?,0,0.0
418,Are there any stationary red objects?,1,1.0
419,How many stationary objects are there when the green sphere enters the scene?,1,1.0
420,How many cylinders are moving?,1,1.0
421,What is the shape of the first object that enters the scene?,1,1.0
422,What is the shape of the object to collide with the cyan cube?,1,1.0
423,What shape is the last object to collide with the gray cube?,0,0.0
424,What shape is the moving gray object when the video ends?,1,1.0
425,What shape is the stationary gray object?,0,0.0
426,Are there any gray objects that exit the scene after the green object enters the scene?,1,1.0
427,How many spheres enter the scene?,1,1.0
428,How many metal spheres enter the scene?,1,1.0
429,Are there any moving cylinders when the video begins?,1,1.0
430,How many stationary objects are there when the sphere enters the scene?,1,1.0
431,How many cyan objects are stationary when the sphere enters the scene?,1,1.0
432,What is the material of the last object to collide with the cube?,0,0.0
433,What is the color of the last object that enters the scene?,1,1.0
434,What is the shape of the object to collide with the cyan sphere?,1,1.0
435,What is the material of the stationary cyan object when the video begins?,1,1.0
436,What shape is the object that is stationary when the video ends?,0,0.0
437,Are there any red cylinders that enter the scene after the sphere enters the scene?,1,1.0
438,How many metal objects enter the scene?,1,1.0
439,How many collisions happen?,1,1.0
440,Are there any moving rubber objects?,0,0.0
441,How many metal objects are moving when the video ends?,0,0.0
442,How many moving metal objects are there?,0,0.0
443,What is the shape of the first object to collide with the green object?,0,0.0
444,What is the color of the last object to collide with the red cube?,0,0.0
445,What material is the last object to collide with the yellow cylinder?,1,1.0
446,What is the color of the metal cylinder that is moving when the video begins?,1,1.0
447,What color is the moving object when the video begins?,1,1.0
448,Are there any green objects that enter the scene?,1,1.0
449,How many collisions happen?,0,0.0
450,How many objects enter the scene?,1,1.0
451,Are there any stationary cylinders when the metal cube enters the scene?,1,1.0
452,How many stationary brown objects are there when the blue object enters the scene?,1,1.0
453,How many red objects are moving when the video begins?,1,1.0
454,What is the shape of the object to collide with the green cube?,1,1.0
455,What is the material of the last object to collide with the brown object?,1,1.0
456,What color is the object to collide with the green cylinder?,1,1.0
457,What color is the stationary metal cylinder when the blue cube enters the scene?,0,0.0
458,What is the color of the moving cylinder when the video ends?,0,0.0
459,Are there any green cubes that enter the scene after the blue object enters the scene?,1,1.0
460,How many cylinders enter the scene after the green cube enters the scene?,1,1.0
461,How many cubes enter the scene?,1,1.0
462,Are there any moving spheres when the yellow object enters the scene?,1,1.0
463,How many moving rubber objects are there when the video ends?,0,0.0
464,How many moving cylinders are there?,1,1.0
465,What color is the last object to collide with the purple object?,1,1.0
466,What is the shape of the last object to collide with the gray object?,1,1.0
467,What color is the object to collide with the metal cube?,1,1.0
468,What is the color of the rubber cylinder that is moving when the video ends?,1,1.0
469,What color is the stationary rubber object when the yellow cube enters the scene?,1,1.0
470,Are there any purple objects that enter the scene before the yellow object enters the scene?,1,1.0
471,How many collisions happen after the yellow cube enters the scene?,1,1.0
472,How many purple objects exit the scene?,1,1.0
473,Are there any moving yellow objects when the video ends?,1,1.0
474,How many metal objects are stationary when the cyan object enters the scene?,1,1.0
475,How many cylinders are moving?,1,1.0
476,What shape is the second object to collide with the rubber object?,1,1.0
477,What material is the second object to collide with the rubber sphere?,1,1.0
478,What is the shape of the last object that enters the scene?,1,1.0
479,What is the shape of the metal object that is stationary when the cyan sphere enters the scene?,1,1.0
480,What is the material of the sphere that is stationary when the cyan sphere enters the scene?,1,1.0
481,Are there any yellow objects that enter the scene after the cyan sphere enters the scene?,1,1.0
482,How many metal cylinders enter the scene?,1,1.0
483,How many metal objects enter the scene?,1,1.0
484,Are there any moving cylinders?,1,1.0
485,How many stationary brown objects are there when the video ends?,1,1.0
486,How many stationary spheres are there when the video ends?,0,0.0
487,What is the color of the object to collide with the blue object?,1,1.0
488,What shape is the first object to collide with the red sphere?,1,1.0
489,What color is the object to collide with the metal cylinder?,1,1.0
490,What is the shape of the brown object that is stationary when the video begins?,1,1.0
491,What material is the stationary cylinder when the video ends?,0,0.0
492,Are there any cubes that enter the scene before the blue object enters the scene?,1,1.0
493,How many spheres enter the scene after the blue object enters the scene?,1,1.0
494,How many objects enter the scene?,1,1.0
495,Are there any moving brown objects when the metal sphere enters the scene?,1,1.0
496,How many objects are stationary when the video begins?,0,0.0
497,How many gray objects are moving when the video ends?,1,1.0
498,What is the material of the object to collide with the green object?,1,1.0
499,What shape is the object to collide with the cylinder?,1,1.0
500,What shape is the last object to collide with the red cube?,1,1.0
501,What is the color of the cube that is stationary when the video begins?,1,1.0
502,What color is the metal object that is stationary when the red cube enters the scene?,1,1.0
503,Are there any red objects that enter the scene before the green sphere enters the scene?,1,1.0
504,How many collisions happen before the red cube enters the scene?,1,1.0
505,How many objects enter the scene?,1,1.0
506,Are there any stationary objects when the red sphere enters the scene?,1,1.0
507,How many cubes are moving when the video ends?,1,1.0
508,How many stationary objects are there when the red sphere enters the scene?,1,1.0
509,What shape is the last object to collide with the green sphere?,0,0.0
510,What is the color of the first object to collide with the blue cylinder?,1,1.0
511,What is the shape of the first object to collide with the red sphere?,0,0.0
512,What color is the stationary sphere when the video ends?,0,0.0
513,What color is the cube that is stationary when the green cube enters the scene?,1,1.0
514,Are there any blue objects that enter the scene?,1,1.0
515,How many metal objects enter the scene before the green cube enters the scene?,1,1.0
516,How many collisions happen?,0,0.0
517,Are there any moving spheres when the video begins?,0,0.0
518,How many moving green objects are there when the video begins?,1,1.0
519,How many objects are stationary when the rubber sphere enters the scene?,1,1.0
520,What color is the object that enters the scene?,1,1.0
521,What color is the object that exits the scene?,1,1.0
522,What color is the last object to collide with the purple object?,1,1.0
523,What shape is the object that is stationary when the video ends?,1,1.0
524,What is the shape of the stationary object when the rubber sphere enters the scene?,1,1.0
525,Are there any purple objects that enter the scene before the rubber sphere enters the scene?,1,1.0
526,How many collisions happen?,1,1.0
527,How many collisions happen after the rubber sphere enters the scene?,1,1.0
528,Are there any stationary brown objects when the video begins?,1,1.0
529,How many moving objects are there when the video ends?,0,0.0
530,How many stationary metal objects are there when the video ends?,1,1.0
531,What is the material of the object to collide with the blue cylinder?,1,1.0
532,What is the shape of the last object to collide with the red object?,0,0.0
533,What shape is the last object to collide with the metal cube?,0,0.0
534,What shape is the object that is moving when the video ends?,0,0.0
535,What is the shape of the metal object that is moving when the green object enters the scene?,1,1.0
536,Are there any blue objects that exit the scene?,1,1.0
537,How many metal objects enter the scene?,1,1.0
538,How many rubber objects enter the scene?,1,1.0
539,Are there any stationary cubes when the video begins?,1,1.0
540,How many stationary cylinders are there when the video begins?,1,1.0
