row_idx,question_id,frames_dir,n_frames,correct,raw_score,category,prompt,src_idx_image
26,video_10013_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What is the color of the first object to collide with the blue object?,3801
27,video_10013_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What is the material of the last object to collide with the purple cylinder?,4483
28,video_10013_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What color is the moving cylinder when the video begins?,2583
29,video_10013_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What color is the moving rubber object when the video begins?,4338
30,video_10013_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,Are there any cylinders that enter the scene before the cube enters the scene?,6229
31,video_10013_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,How many cylinders enter the scene before the cube enters the scene?,2041
32,video_10013_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,How many collisions happen?,317
33,video_10017_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,Are there any moving purple objects?,3361
34,video_10017_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,0,0.0,descriptive,How many moving objects are there when the video ends?,3164
35,video_10017_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,How many purple objects are stationary when the video begins?,828
36,video_10017_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What color is the last object to collide with the brown object?,5988
37,video_10017_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What is the color of the first object to collide with the brown cube?,5870
38,video_10017_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What is the material of the object to collide with the yellow object?,5595
39,video_10017_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What color is the stationary sphere?,7181
40,video_10017_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What color is the stationary sphere when the cylinder enters the scene?,1178
41,video_10017_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,Are there any yellow objects that enter the scene?,3741
42,video_10017_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,How many collisions happen?,5738
43,video_10017_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,0,0.0,descriptive,How many spheres enter the scene?,6383
44,video_10026_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,Are there any stationary green objects?,5486
45,video_10026_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,How many cubes are moving?,6233
46,video_10026_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,0,0.0,descriptive,How many stationary rubber objects are there when the video begins?,5455
47,video_10026_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,What shape is the object to collide with the blue object?,2590
48,video_10026_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,What is the material of the first object to collide with the purple sphere?,6896
49,video_10026_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,What is the material of the object that enters the scene?,703
50,video_10026_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,What color is the stationary rubber sphere?,2887
51,video_10026_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,0,0.0,descriptive,What shape is the green object that is moving when the video ends?,4501
52,video_10026_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,Are there any objects that enter the scene?,1818
53,video_10026_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,How many green cylinders enter the scene after the red object enters the scene?,4079
54,video_10026_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,How many collisions happen after the red sphere enters the scene?,986
55,video_10029_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,Are there any stationary red objects when the video ends?,3451
56,video_10029_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,How many rubber objects are moving?,4885
57,video_10029_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,0,0.0,descriptive,How many moving objects are there when the video ends?,765
58,video_10029_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What shape is the last object to collide with the purple sphere?,5312
59,video_10029_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What material is the last object that enters the scene?,4510
60,video_10029_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What material is the first object to collide with the purple sphere?,3209
61,video_10029_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What material is the object that is stationary?,6343
62,video_10029_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What shape is the stationary metal object when the sphere enters the scene?,7528
63,video_10029_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,Are there any spheres that enter the scene before the cylinder enters the scene?,3733
64,video_10029_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,How many rubber spheres enter the scene?,1804
65,video_10029_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,How many cubes exit the scene?,2683
66,video_10045_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,Are there any moving brown objects when the video ends?,7308
67,video_10045_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,How many green objects are stationary when the video begins?,3310
68,video_10045_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,How many moving brown objects are there?,3571
69,video_10045_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,What material is the first object to collide with the cylinder?,1944
70,video_10045_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,What is the shape of the first object to collide with the rubber cylinder?,4877
71,video_10045_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,What color is the object to collide with the cyan object?,5942
72,video_10045_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,0,0.0,descriptive,What shape is the object that is moving when the video begins?,4373
73,video_10045_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,What shape is the rubber object that is moving when the video ends?,6125
74,video_10045_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,Are there any metal objects that enter the scene?,3108
75,video_10045_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,How many yellow spheres enter the scene?,4542
76,video_10045_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,How many green spheres enter the scene?,2824
77,video_10053_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,Are there any moving green objects when the blue sphere enters the scene?,5588
78,video_10053_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,How many rubber objects are moving?,6643
79,video_10053_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,How many metal objects are moving when the video ends?,147
80,video_10053_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What color is the first object to collide with the green object?,2047
81,video_10053_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What is the material of the last object to collide with the green cylinder?,24
82,video_10053_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What is the material of the object to collide with the red object?,2811
83,video_10053_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What is the material of the object that is stationary when the video begins?,2221
84,video_10053_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What is the shape of the metal object that is stationary when the video begins?,2162
85,video_10053_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,Are there any yellow spheres that enter the scene?,6340
86,video_10053_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,How many metal spheres enter the scene?,1430
87,video_10053_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,How many metal objects enter the scene?,4741
88,video_10058_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,Are there any stationary green objects when the video begins?,7367
89,video_10058_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,How many gray objects are stationary when the video begins?,7429
90,video_10058_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,0,0.0,descriptive,How many objects are moving when the video ends?,1837
91,video_10058_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What is the material of the object to collide with the purple sphere?,6063
92,video_10058_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What is the color of the first object to collide with the metal cylinder?,1650
93,video_10058_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What color is the object to collide with the purple object?,1718
94,video_10058_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What is the material of the stationary object when the purple sphere enters the scene?,910
95,video_10058_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What is the shape of the stationary metal object when the video begins?,4471
96,video_10058_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,Are there any purple spheres that enter the scene before the metal sphere enters the scene?,2502
97,video_10058_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,How many collisions happen after the metal sphere enters the scene?,5142
98,video_10058_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,How many collisions happen after the rubber sphere enters the scene?,3648
99,video_10064_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,Are there any stationary purple objects when the cube enters the scene?,6462
100,video_10064_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,How many moving objects are there when the video ends?,2750
101,video_10064_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,How many moving cubes are there?,6909
102,video_10064_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,What material is the object to collide with the brown object?,428
103,video_10064_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,What color is the object to collide with the brown object?,6709
104,video_10064_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,What color is the last object that enters the scene?,3965
105,video_10064_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,0,0.0,descriptive,What is the shape of the object that is stationary when the red object enters the scene?,6742
106,video_10064_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,What material is the stationary sphere when the red sphere enters the scene?,3556
107,video_10064_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,0,0.0,descriptive,Are there any blue objects that enter the scene before the blue sphere exits the scene?,6793
108,video_10064_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,How many blue objects exit the scene after the red object enters the scene?,6472
109,video_10064_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,How many collisions happen before the cube enters the scene?,4806
110,video_10076_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,Are there any moving red objects when the video ends?,3848
111,video_10076_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,How many moving spheres are there when the video begins?,904
112,video_10076_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,0,0.0,descriptive,How many stationary metal objects are there when the video begins?,4195
113,video_10076_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What material is the last object that enters the scene?,6287
114,video_10076_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What is the material of the last object to collide with the red cylinder?,2482
115,video_10076_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What is the material of the last object to collide with the red object?,3740
116,video_10076_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What color is the sphere that is stationary when the red cylinder enters the scene?,6791
117,video_10076_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What color is the rubber cylinder that is stationary when the red cylinder enters the scene?,4611
118,video_10076_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,Are there any metal cubes that enter the scene before the red cylinder enters the scene?,922
119,video_10076_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,How many collisions happen after the red cylinder enters the scene?,3040
120,video_10076_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,How many collisions happen after the gray sphere enters the scene?,1334
121,video_10079_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,Are there any moving brown objects when the red cube enters the scene?,6897
122,video_10079_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,How many metal objects are moving when the red object enters the scene?,2770
123,video_10079_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,How many moving spheres are there when the video ends?,6648
124,video_10079_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the color of the last object to collide with the green cube?,3234
125,video_10079_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the color of the last object to collide with the cylinder?,6646
126,video_10079_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the color of the first object to collide with the green cube?,2068
127,video_10079_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the color of the stationary object when the video ends?,5238
128,video_10079_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the shape of the object that is stationary when the metal cube enters the scene?,7136
129,video_10079_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,Are there any rubber objects that exit the scene?,6032
130,video_10079_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,How many rubber cubes enter the scene before the green cube enters the scene?,3815
131,video_10079_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,How many metal objects enter the scene before the red cube enters the scene?,3466
132,video_10094_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,Are there any moving rubber objects when the metal sphere enters the scene?,6607
133,video_10094_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,How many cylinders are stationary when the video begins?,3251
134,video_10094_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,How many stationary cylinders are there?,1191
135,video_10094_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What shape is the object to collide with the metal cube?,4183
136,video_10094_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What is the color of the object to collide with the brown cylinder?,3644
137,video_10094_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What material is the last object that enters the scene?,2655
138,video_10094_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What shape is the metal object that is stationary when the gray sphere enters the scene?,3133
139,video_10094_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What is the color of the cylinder that is moving?,6262
140,video_10094_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,Are there any rubber cylinders that enter the scene?,5836
141,video_10094_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,How many collisions happen?,192
142,video_10094_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,How many rubber objects enter the scene?,7142
143,video_10120_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,Are there any moving brown objects?,2954
144,video_10120_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,How many moving cubes are there when the video begins?,3143
145,video_10120_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,0,0.0,descriptive,How many objects are stationary when the video ends?,5156
146,video_10120_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,What color is the object to collide with the rubber object?,783
147,video_10120_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,What color is the second object to collide with the red object?,633
148,video_10120_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,What shape is the object to collide with the yellow cube?,5296
149,video_10120_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,What is the material of the cube that is moving when the video ends?,3293
150,video_10120_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,0,0.0,descriptive,What is the material of the stationary object when the video begins?,3089
151,video_10120_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,Are there any yellow objects that enter the scene?,7107
152,video_10120_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,How many objects enter the scene?,1963
153,video_10120_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,How many purple cylinders enter the scene before the sphere enters the scene?,1464
154,video_10159_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,Are there any moving red objects when the video begins?,6102
155,video_10159_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,How many spheres are stationary when the gray object enters the scene?,2772
156,video_10159_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,How many moving metal objects are there when the video ends?,2716
157,video_10159_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,What color is the object to collide with the red cylinder?,1017
158,video_10159_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,What color is the last object to collide with the cyan object?,2601
159,video_10159_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,What shape is the first object that enters the scene?,1438
160,video_10159_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,What is the color of the sphere that is moving when the gray object enters the scene?,7295
161,video_10159_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,0,0.0,descriptive,What shape is the moving metal object when the video begins?,928
162,video_10159_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,Are there any rubber objects that exit the scene after the cube enters the scene?,5171
163,video_10159_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,How many metal spheres enter the scene?,5491
