row_idx,question,correct,image_path
21,How many collisions happen?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
22,Are there any stationary purple objects when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
23,How many spheres are moving when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
24,How many moving rubber objects are there when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
25,What shape is the object to collide with the gray cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
26,What is the color of the first object to collide with the blue object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
27,What is the material of the last object to collide with the purple cylinder?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
28,What color is the moving cylinder when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
29,What color is the moving rubber object when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
30,Are there any cylinders that enter the scene before the cube enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
31,How many cylinders enter the scene before the cube enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
32,How many collisions happen?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10013/concat.jpg
33,Are there any moving purple objects?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
34,How many moving objects are there when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
35,How many purple objects are stationary when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
36,What color is the last object to collide with the brown object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
37,What is the color of the first object to collide with the brown cube?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
38,What is the material of the object to collide with the yellow object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
39,What color is the stationary sphere?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
40,What color is the stationary sphere when the cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
41,Are there any yellow objects that enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
42,How many collisions happen?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
43,How many spheres enter the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10017/concat.jpg
44,Are there any stationary green objects?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
45,How many cubes are moving?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
46,How many stationary rubber objects are there when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
47,What shape is the object to collide with the blue object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
48,What is the material of the first object to collide with the purple sphere?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
49,What is the material of the object that enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
50,What color is the stationary rubber sphere?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
51,What shape is the green object that is moving when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
52,Are there any objects that enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
53,How many green cylinders enter the scene after the red object enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
54,How many collisions happen after the red sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10026/concat.jpg
55,Are there any stationary red objects when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
56,How many rubber objects are moving?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
57,How many moving objects are there when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
58,What shape is the last object to collide with the purple sphere?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
59,What material is the last object that enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
60,What material is the first object to collide with the purple sphere?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
61,What material is the object that is stationary?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
62,What shape is the stationary metal object when the sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
63,Are there any spheres that enter the scene before the cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
64,How many rubber spheres enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
65,How many cubes exit the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10029/concat.jpg
66,Are there any moving brown objects when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
67,How many green objects are stationary when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
68,How many moving brown objects are there?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
69,What material is the first object to collide with the cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
70,What is the shape of the first object to collide with the rubber cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
71,What color is the object to collide with the cyan object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
72,What shape is the object that is moving when the video begins?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
73,What shape is the rubber object that is moving when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
74,Are there any metal objects that enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
75,How many yellow spheres enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
76,How many green spheres enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10045/concat.jpg
77,Are there any moving green objects when the blue sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
78,How many rubber objects are moving?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
79,How many metal objects are moving when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
80,What color is the first object to collide with the green object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
81,What is the material of the last object to collide with the green cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
82,What is the material of the object to collide with the red object?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
83,What is the material of the object that is stationary when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
84,What is the shape of the metal object that is stationary when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
85,Are there any yellow spheres that enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
86,How many metal spheres enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
87,How many metal objects enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10053/concat.jpg
88,Are there any stationary green objects when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
89,How many gray objects are stationary when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
90,How many objects are moving when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
91,What is the material of the object to collide with the purple sphere?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
92,What is the color of the first object to collide with the metal cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
93,What color is the object to collide with the purple object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
94,What is the material of the stationary object when the purple sphere enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
95,What is the shape of the stationary metal object when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
96,Are there any purple spheres that enter the scene before the metal sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
97,How many collisions happen after the metal sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
98,How many collisions happen after the rubber sphere enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10058/concat.jpg
99,Are there any stationary purple objects when the cube enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
100,How many moving objects are there when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
101,How many moving cubes are there?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
102,What material is the object to collide with the brown object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
103,What color is the object to collide with the brown object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
104,What color is the last object that enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
105,What is the shape of the object that is stationary when the red object enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
106,What material is the stationary sphere when the red sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
107,Are there any blue objects that enter the scene before the blue sphere exits the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
108,How many blue objects exit the scene after the red object enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
109,How many collisions happen before the cube enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10064/concat.jpg
110,Are there any moving red objects when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
111,How many moving spheres are there when the video begins?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
112,How many stationary metal objects are there when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
113,What material is the last object that enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
114,What is the material of the last object to collide with the red cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
115,What is the material of the last object to collide with the red object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
116,What color is the sphere that is stationary when the red cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
117,What color is the rubber cylinder that is stationary when the red cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
118,Are there any metal cubes that enter the scene before the red cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
119,How many collisions happen after the red cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
120,How many collisions happen after the gray sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10076/concat.jpg
121,Are there any moving brown objects when the red cube enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
122,How many metal objects are moving when the red object enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
123,How many moving spheres are there when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
124,What is the color of the last object to collide with the green cube?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
125,What is the color of the last object to collide with the cylinder?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
126,What is the color of the first object to collide with the green cube?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
127,What is the color of the stationary object when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
128,What is the shape of the object that is stationary when the metal cube enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
129,Are there any rubber objects that exit the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
130,How many rubber cubes enter the scene before the green cube enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
131,How many metal objects enter the scene before the red cube enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10079/concat.jpg
132,Are there any moving rubber objects when the metal sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
133,How many cylinders are stationary when the video begins?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
134,How many stationary cylinders are there?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
135,What shape is the object to collide with the metal cube?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
136,What is the color of the object to collide with the brown cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
137,What material is the last object that enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
138,What shape is the metal object that is stationary when the gray sphere enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
139,What is the color of the cylinder that is moving?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
140,Are there any rubber cylinders that enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
141,How many collisions happen?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
142,How many rubber objects enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10094/concat.jpg
143,Are there any moving brown objects?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
144,How many moving cubes are there when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
145,How many objects are stationary when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
146,What color is the object to collide with the rubber object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
147,What color is the second object to collide with the red object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
148,What shape is the object to collide with the yellow cube?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
149,What is the material of the cube that is moving when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
150,What is the material of the stationary object when the video begins?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
151,Are there any yellow objects that enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
152,How many objects enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
153,How many purple cylinders enter the scene before the sphere enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10120/concat.jpg
154,Are there any moving red objects when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
155,How many spheres are stationary when the gray object enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
156,How many moving metal objects are there when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
157,What color is the object to collide with the red cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
158,What color is the last object to collide with the cyan object?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
159,What shape is the first object that enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
160,What is the color of the sphere that is moving when the gray object enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
161,What shape is the moving metal object when the video begins?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
162,Are there any rubber objects that exit the scene after the cube enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
163,How many metal spheres enter the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
164,How many collisions happen?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10159/concat.jpg
165,Are there any stationary cylinders when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
166,How many stationary metal objects are there when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
167,How many stationary spheres are there when the yellow object enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
168,What is the shape of the last object to collide with the yellow cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
169,What color is the last object to collide with the yellow cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
170,What is the color of the second object that enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
171,What color is the stationary rubber object when the yellow cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
172,What shape is the moving rubber object when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
173,Are there any rubber spheres that enter the scene after the yellow cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
174,How many metal cylinders enter the scene before the sphere enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
175,How many cylinders enter the scene before the sphere enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10172/concat.jpg
176,Are there any stationary green objects?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
177,How many objects are stationary when the brown object enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
178,How many objects are moving when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
179,What is the color of the last object that enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
180,What is the shape of the first object to collide with the brown cube?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
181,What color is the object to collide with the metal cylinder?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
182,What material is the yellow object that is stationary when the brown cube enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
183,What shape is the rubber object that is stationary?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
184,Are there any green spheres that enter the scene after the brown cube enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
185,How many yellow cubes enter the scene after the yellow cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
186,How many brown cubes enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10193/concat.jpg
187,Are there any moving green objects when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
188,How many objects are moving?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
189,How many objects are moving when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
190,What shape is the last object to collide with the metal cylinder?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
191,What is the color of the first object to collide with the metal cylinder?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
192,What material is the object to collide with the red sphere?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
193,What color is the stationary metal cube when the metal sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
194,What shape is the moving object when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
195,Are there collisions after the metal sphere enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
196,How many collisions happen?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
197,How many collisions happen after the metal sphere enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10200/concat.jpg
198,Are there any moving brown objects when the gray cylinder enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10203/concat.jpg
