row_idx,question_id,frames_dir,n_frames,correct,raw_score,category,prompt
18,video_10004_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,0,0.0,descriptive,What material is the object that is stationary when the video ends?
19,video_10004_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,Are there any blue objects that enter the scene?
20,video_10004_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,How many objects enter the scene?
21,video_10004_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,0,0.0,descriptive,How many collisions happen?
22,video_10013_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,Are there any stationary purple objects when the video begins?
23,video_10013_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,How many spheres are moving when the video ends?
24,video_10013_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,How many moving rubber objects are there when the video ends?
25,video_10013_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What shape is the object to collide with the gray cylinder?
26,video_10013_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What is the color of the first object to collide with the blue object?
27,video_10013_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What is the material of the last object to collide with the purple cylinder?
28,video_10013_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What color is the moving cylinder when the video begins?
29,video_10013_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What color is the moving rubber object when the video begins?
30,video_10013_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,Are there any cylinders that enter the scene before the cube enters the scene?
31,video_10013_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,How many cylinders enter the scene before the cube enters the scene?
32,video_10013_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,How many collisions happen?
33,video_10017_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,Are there any moving purple objects?
34,video_10017_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,0,0.0,descriptive,How many moving objects are there when the video ends?
35,video_10017_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,How many purple objects are stationary when the video begins?
36,video_10017_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What color is the last object to collide with the brown object?
37,video_10017_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What is the color of the first object to collide with the brown cube?
38,video_10017_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What is the material of the object to collide with the yellow object?
39,video_10017_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What color is the stationary sphere?
40,video_10017_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,What color is the stationary sphere when the cylinder enters the scene?
41,video_10017_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,Are there any yellow objects that enter the scene?
42,video_10017_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,1,1.0,descriptive,How many collisions happen?
43,video_10017_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10017,8,0,0.0,descriptive,How many spheres enter the scene?
44,video_10026_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,Are there any stationary green objects?
45,video_10026_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,How many cubes are moving?
46,video_10026_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,0,0.0,descriptive,How many stationary rubber objects are there when the video begins?
47,video_10026_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,What shape is the object to collide with the blue object?
48,video_10026_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,What is the material of the first object to collide with the purple sphere?
49,video_10026_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,What is the material of the object that enters the scene?
50,video_10026_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,What color is the stationary rubber sphere?
51,video_10026_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,0,0.0,descriptive,What shape is the green object that is moving when the video ends?
52,video_10026_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,Are there any objects that enter the scene?
53,video_10026_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,How many green cylinders enter the scene after the red object enters the scene?
54,video_10026_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10026,8,1,1.0,descriptive,How many collisions happen after the red sphere enters the scene?
55,video_10029_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,Are there any stationary red objects when the video ends?
56,video_10029_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,How many rubber objects are moving?
57,video_10029_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,0,0.0,descriptive,How many moving objects are there when the video ends?
58,video_10029_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What shape is the last object to collide with the purple sphere?
59,video_10029_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What material is the last object that enters the scene?
60,video_10029_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What material is the first object to collide with the purple sphere?
61,video_10029_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What material is the object that is stationary?
62,video_10029_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,What shape is the stationary metal object when the sphere enters the scene?
63,video_10029_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,Are there any spheres that enter the scene before the cylinder enters the scene?
64,video_10029_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,How many rubber spheres enter the scene?
65,video_10029_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10029,8,1,1.0,descriptive,How many cubes exit the scene?
66,video_10045_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,Are there any moving brown objects when the video ends?
67,video_10045_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,How many green objects are stationary when the video begins?
68,video_10045_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,How many moving brown objects are there?
69,video_10045_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,What material is the first object to collide with the cylinder?
70,video_10045_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,What is the shape of the first object to collide with the rubber cylinder?
71,video_10045_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,What color is the object to collide with the cyan object?
72,video_10045_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,0,0.0,descriptive,What shape is the object that is moving when the video begins?
73,video_10045_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,What shape is the rubber object that is moving when the video ends?
74,video_10045_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,Are there any metal objects that enter the scene?
75,video_10045_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,How many yellow spheres enter the scene?
76,video_10045_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10045,8,1,1.0,descriptive,How many green spheres enter the scene?
77,video_10053_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,Are there any moving green objects when the blue sphere enters the scene?
78,video_10053_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,How many rubber objects are moving?
79,video_10053_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,How many metal objects are moving when the video ends?
80,video_10053_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What color is the first object to collide with the green object?
81,video_10053_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What is the material of the last object to collide with the green cylinder?
82,video_10053_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What is the material of the object to collide with the red object?
83,video_10053_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What is the material of the object that is stationary when the video begins?
84,video_10053_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,What is the shape of the metal object that is stationary when the video begins?
85,video_10053_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,Are there any yellow spheres that enter the scene?
86,video_10053_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,How many metal spheres enter the scene?
87,video_10053_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10053,8,1,1.0,descriptive,How many metal objects enter the scene?
88,video_10058_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,Are there any stationary green objects when the video begins?
89,video_10058_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,How many gray objects are stationary when the video begins?
90,video_10058_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,0,0.0,descriptive,How many objects are moving when the video ends?
91,video_10058_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What is the material of the object to collide with the purple sphere?
92,video_10058_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What is the color of the first object to collide with the metal cylinder?
93,video_10058_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What color is the object to collide with the purple object?
94,video_10058_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What is the material of the stationary object when the purple sphere enters the scene?
95,video_10058_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,What is the shape of the stationary metal object when the video begins?
96,video_10058_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,Are there any purple spheres that enter the scene before the metal sphere enters the scene?
97,video_10058_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,How many collisions happen after the metal sphere enters the scene?
98,video_10058_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10058,8,1,1.0,descriptive,How many collisions happen after the rubber sphere enters the scene?
99,video_10064_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,Are there any stationary purple objects when the cube enters the scene?
100,video_10064_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,How many moving objects are there when the video ends?
101,video_10064_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,How many moving cubes are there?
102,video_10064_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,What material is the object to collide with the brown object?
103,video_10064_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,What color is the object to collide with the brown object?
104,video_10064_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,What color is the last object that enters the scene?
105,video_10064_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,0,0.0,descriptive,What is the shape of the object that is stationary when the red object enters the scene?
106,video_10064_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,What material is the stationary sphere when the red sphere enters the scene?
107,video_10064_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,0,0.0,descriptive,Are there any blue objects that enter the scene before the blue sphere exits the scene?
108,video_10064_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,How many blue objects exit the scene after the red object enters the scene?
109,video_10064_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10064,8,1,1.0,descriptive,How many collisions happen before the cube enters the scene?
110,video_10076_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,Are there any moving red objects when the video ends?
111,video_10076_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,How many moving spheres are there when the video begins?
112,video_10076_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,0,0.0,descriptive,How many stationary metal objects are there when the video begins?
113,video_10076_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What material is the last object that enters the scene?
114,video_10076_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What is the material of the last object to collide with the red cylinder?
115,video_10076_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What is the material of the last object to collide with the red object?
116,video_10076_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What color is the sphere that is stationary when the red cylinder enters the scene?
117,video_10076_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,What color is the rubber cylinder that is stationary when the red cylinder enters the scene?
118,video_10076_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,Are there any metal cubes that enter the scene before the red cylinder enters the scene?
119,video_10076_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,How many collisions happen after the red cylinder enters the scene?
120,video_10076_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10076,8,1,1.0,descriptive,How many collisions happen after the gray sphere enters the scene?
121,video_10079_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,Are there any moving brown objects when the red cube enters the scene?
122,video_10079_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,How many metal objects are moving when the red object enters the scene?
123,video_10079_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,How many moving spheres are there when the video ends?
124,video_10079_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the color of the last object to collide with the green cube?
125,video_10079_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the color of the last object to collide with the cylinder?
126,video_10079_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the color of the first object to collide with the green cube?
127,video_10079_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the color of the stationary object when the video ends?
128,video_10079_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,What is the shape of the object that is stationary when the metal cube enters the scene?
129,video_10079_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,Are there any rubber objects that exit the scene?
130,video_10079_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,How many rubber cubes enter the scene before the green cube enters the scene?
131,video_10079_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10079,8,1,1.0,descriptive,How many metal objects enter the scene before the red cube enters the scene?
132,video_10094_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,Are there any moving rubber objects when the metal sphere enters the scene?
133,video_10094_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,How many cylinders are stationary when the video begins?
134,video_10094_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,How many stationary cylinders are there?
135,video_10094_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What shape is the object to collide with the metal cube?
136,video_10094_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What is the color of the object to collide with the brown cylinder?
137,video_10094_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What material is the last object that enters the scene?
138,video_10094_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What shape is the metal object that is stationary when the gray sphere enters the scene?
139,video_10094_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,What is the color of the cylinder that is moving?
140,video_10094_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,Are there any rubber cylinders that enter the scene?
141,video_10094_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,How many collisions happen?
142,video_10094_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10094,8,1,1.0,descriptive,How many rubber objects enter the scene?
143,video_10120_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,Are there any moving brown objects?
144,video_10120_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,How many moving cubes are there when the video begins?
145,video_10120_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,0,0.0,descriptive,How many objects are stationary when the video ends?
146,video_10120_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,What color is the object to collide with the rubber object?
147,video_10120_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,What color is the second object to collide with the red object?
148,video_10120_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,What shape is the object to collide with the yellow cube?
149,video_10120_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,What is the material of the cube that is moving when the video ends?
150,video_10120_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,0,0.0,descriptive,What is the material of the stationary object when the video begins?
151,video_10120_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,Are there any yellow objects that enter the scene?
152,video_10120_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,How many objects enter the scene?
153,video_10120_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10120,8,1,1.0,descriptive,How many purple cylinders enter the scene before the sphere enters the scene?
154,video_10159_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,Are there any moving red objects when the video begins?
155,video_10159_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,How many spheres are stationary when the gray object enters the scene?
156,video_10159_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,How many moving metal objects are there when the video ends?
157,video_10159_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,What color is the object to collide with the red cylinder?
158,video_10159_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,What color is the last object to collide with the cyan object?
159,video_10159_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,What shape is the first object that enters the scene?
160,video_10159_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,What is the color of the sphere that is moving when the gray object enters the scene?
161,video_10159_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,0,0.0,descriptive,What shape is the moving metal object when the video begins?
162,video_10159_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,Are there any rubber objects that exit the scene after the cube enters the scene?
163,video_10159_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,How many metal spheres enter the scene?
164,video_10159_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10159,8,1,1.0,descriptive,How many collisions happen?
165,video_10172_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10172,8,1,1.0,descriptive,Are there any stationary cylinders when the video begins?
166,video_10172_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10172,8,1,1.0,descriptive,How many stationary metal objects are there when the video begins?
167,video_10172_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10172,8,1,1.0,descriptive,How many stationary spheres are there when the yellow object enters the scene?
168,video_10172_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10172,8,1,1.0,descriptive,What is the shape of the last object to collide with the yellow cylinder?
169,video_10172_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10172,8,1,1.0,descriptive,What color is the last object to collide with the yellow cylinder?
