question_id,prompt,answer,correct,raw_score
video_10004_5,"Which of the following is not responsible for the collision between the purple cylinder and the blue object?
Options:
A. the cyan cylinder's entrance
B. the presence of the cyan metal cylinder
C. the metal cube's colliding with the blue cube
D. the cyan object's colliding with the purple cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10004_6,Are there any moving rubber objects when the red metal cylinder enters the scene?,,0,0.0
video_10004_7,Are there any cubes that exit the scene after the green object enters the scene?,,0,0.0
video_10004_8,How many moving metal objects are there?,,1,1.0
video_10004_9,What is the color of the object to collide with the metal cylinder?,,1,1.0
video_10004_10,"What will not happen if the metal object is removed?
Options:
A. The cyan cylinder collides with the brown cylinder
B. The brown cylinder collides with the gray object
C. The green object collides with the gray cube
D. The cyan object and the gray cube collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,0,0.0
video_10013_0,How many objects enter the scene?,,1,1.0
video_10013_1,Are there any rubber spheres that enter the scene?,,1,1.0
video_10013_2,How many moving gray objects are there when the video ends?,,1,1.0
video_10013_3,"Without the cyan sphere, which of the following will happen?
Options:
A. The cube collides with the cylinder
B. The cube and the green sphere collide
C. The green sphere and the cylinder collide
D. The yellow sphere and the green sphere collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10013_4,Are there any metal objects that exit the scene after the blue sphere enters the scene?,,1,1.0
video_10013_5,Are there any purple spheres that enter the scene after the cylinder enters the scene?,,1,1.0
video_10013_6,How many collisions happen before the sphere enters the scene?,,1,1.0
video_10013_7,What is the shape of the stationary object when the cylinder enters the scene?,,1,1.0
video_10013_8,"Which of the following is not responsible for the collision between the purple object and the brown cylinder?
Options:
A. the collision between the purple object and the metal sphere
B. the presence of the metal object
C. the green object's entering the scene
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10013_9,What material is the stationary object when the sphere enters the scene?,,1,1.0
video_10013_10,How many collisions happen after the metal sphere enters the scene?,,1,1.0
video_10017_0,Are there any rubber cubes that exit the scene after the sphere enters the scene?,,1,1.0
video_10017_1,How many objects enter the scene?,,0,0.0
video_10017_2,What color is the first object to collide with the metal sphere?,,1,1.0
video_10017_3,"Which of the following is not responsible for the collision between the yellow sphere and the cylinder?
Options:
A. the green object's colliding with the metal object
B. the presence of the rubber cube
C. the red object's entrance
D. the collision between the red sphere and the green sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10017_4,"Which of the following is responsible for the rubber cylinder's colliding with the sphere?
Options:
A. the cube's entering the scene
B. the sphere's colliding with the cube
C. the presence of the blue metal cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10017_5,"Which of the following is not responsible for the yellow object's colliding with the sphere?
Options:
A. the cube's colliding with the metal cylinder
B. the rubber cylinder's entrance
C. the presence of the red object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10017_6,"If the gray sphere is removed, which event will happen?
Options:
A. The red object and the rubber sphere collide
B. The cylinder collides with the rubber sphere
C. The cylinder collides with the red object
D. The red object and the purple metal sphere collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10017_7,How many moving spheres are there when the video ends?,,1,1.0
video_10017_8,What color is the object to collide with the purple cube?,,1,1.0
video_10017_9,"Which of the following is responsible for the collision between the purple object and the metal cylinder?
Options:
A. the presence of the rubber sphere
B. the purple object's colliding with the sphere
C. the metal cylinder's colliding with the cyan cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10017_10,"What will happen next?
Options:
A. The cube and the blue rubber cylinder collide
B. The blue rubber cylinder collides with the sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,0,0.0
video_10026_0,How many cylinders enter the scene?,,1,1.0
video_10026_1,"Which of the following is not responsible for the collision between the brown sphere and the purple sphere?
Options:
A. the purple sphere's colliding with the metal object
B. the purple sphere's colliding with the purple cylinder
C. the presence of the brown rubber cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10026_2,How many metal objects are moving when the video ends?,,0,0.0
video_10026_3,What shape is the first object to collide with the rubber cylinder?,,1,1.0
video_10026_4,"Which event will happen if the green cylinder is removed?
Options:
A. The gray cylinder and the metal sphere collide
B. The rubber sphere and the metal sphere collide
C. The cube collides with the metal sphere
D. The cube collides with the rubber sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10026_5,How many collisions happen after the blue sphere enters the scene?,,1,1.0
video_10026_6,What shape is the object to collide with the gray cylinder?,,1,1.0
video_10026_7,What color is the object to collide with the blue object?,,0,0.0
video_10026_8,What material is the last object to collide with the metal cylinder?,,1,1.0
video_10026_9,Are there any stationary red objects?,,1,1.0
video_10026_10,What shape is the stationary metal object when the red cylinder enters the scene?,,1,1.0
video_10029_0,How many rubber spheres exit the scene after the red object enters the scene?,,1,1.0
video_10029_1,What is the color of the first object to collide with the gray sphere?,,1,1.0
video_10029_2,What is the material of the moving sphere when the blue cylinder enters the scene?,,0,0.0
video_10029_3,How many moving gray objects are there when the video ends?,,1,1.0
video_10029_4,How many objects are moving when the video ends?,,1,1.0
video_10029_5,How many brown cylinders enter the scene?,,1,1.0
video_10029_6,"Which of the following is responsible for the sphere's colliding with the gray cube?
Options:
A. the presence of the green rubber cube
B. the cylinder's entering the scene
C. the presence of the blue cylinder
D. the rubber object's entering the scene
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10029_7,"Without the gray object, what will not happen?
Options:
A. The yellow cube and the blue cube collide
B. The metal cube and the blue cube collide
C. The blue cube collides with the brown cylinder
D. The sphere collides with the yellow cube
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10029_8,What material is the purple object that is stationary when the video begins?,,1,1.0
video_10029_9,Are there any stationary rubber objects when the yellow sphere enters the scene?,,1,1.0
video_10029_10,How many collisions happen before the rubber cylinder enters the scene?,,1,1.0
video_10045_0,"Which of the following will not happen if the gray cube is removed?
Options:
A. The purple object collides with the sphere
B. The purple object collides with the blue metal cube
C. The cylinder and the blue metal object collide
D. The purple cube and the cylinder collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10045_1,How many objects are moving?,,1,1.0
video_10045_2,How many green objects enter the scene after the blue sphere enters the scene?,,1,1.0
video_10045_3,Are there any rubber spheres that enter the scene?,,1,1.0
video_10045_4,What shape is the stationary object when the video ends?,,1,1.0
video_10045_5,"Which of the following is not responsible for the rubber sphere's exiting the scene?
Options:
A. the brown sphere's colliding with the rubber cylinder
B. the presence of the rubber cylinder
C. the presence of the metal sphere
D. the green cylinder's entering the scene
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10045_6,Are there any cubes that enter the scene before the rubber cylinder enters the scene?,,0,0.0
video_10045_7,"Which of the following is responsible for the collision between the red object and the gray object?
Options:
A. the gray cube's colliding with the green cube
B. the collision between the red cube and the cylinder
C. the presence of the purple rubber object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10045_8,Are there any metal objects that enter the scene after the red object enters the scene?,,1,1.0
video_10045_9,How many moving cylinders are there when the cyan sphere enters the scene?,,1,1.0
video_10045_10,Are there any yellow cylinders that enter the scene?,,1,1.0
video_10053_0,"Which of the following is responsible for the red object's colliding with the metal cylinder?
Options:
A. the presence of the sphere
B. the purple object's entrance
C. the red cube's colliding with the purple object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10053_1,"Which event will happen next?
Options:
A. The metal cylinder and the metal sphere collide
B. The green rubber sphere collides with the metal sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10053_2,What color is the second object to collide with the red object?,,1,1.0
video_10053_3,How many objects are moving when the video ends?,,1,1.0
video_10053_4,How many moving rubber objects are there when the video ends?,,1,1.0
video_10053_5,What shape is the purple object that is moving?,,1,1.0
video_10053_6,How many collisions happen after the gray object enters the scene?,,1,1.0
video_10053_7,What is the shape of the stationary rubber object?,,1,1.0
video_10053_8,"Which of the following is not responsible for the brown cylinder's exiting the scene?
Options:
A. the blue cylinder's entering the scene
B. the presence of the brown sphere
C. the sphere's entering the scene
D. the collision between the sphere and the brown cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10053_9,Are there any moving green objects when the brown cylinder enters the scene?,,1,1.0
video_10053_10,How many stationary red objects are there?,,1,1.0
video_10058_0,"Without the yellow sphere, which event will not happen?
Options:
A. The blue object and the red cylinder collide
B. The blue object and the cyan cylinder collide
C. The metal sphere collides with the blue object
D. The gray object and the red object collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10058_1,"Without the cube, what will happen?
Options:
A. The red object collides with the yellow cylinder
B. The red object and the blue sphere collide
C. The brown object and the yellow sphere collide
D. The brown object collides with the yellow cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10058_2,Are there any moving yellow objects?,,0,0.0
video_10058_3,"Which of the following is not responsible for the gray object's colliding with the rubber cylinder?
Options:
A. the presence of the green cylinder
B. the presence of the green sphere
C. the green cylinder's entering the scene
D. the collision between the gray cylinder and the sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10058_4,Are there any moving brown objects when the video begins?,,1,1.0
video_10058_5,How many moving metal objects are there?,,1,1.0
video_10058_6,Are there any rubber objects that enter the scene?,,1,1.0
video_10058_7,What color is the metal object that is moving when the cyan object exits the scene?,,1,1.0
video_10058_8,What color is the object to collide with the brown object?,,1,1.0
video_10058_9,What is the shape of the moving object when the video ends?,,1,1.0
video_10058_10,How many collisions happen?,,1,1.0
video_10064_0,"What will happen next?
Options:
A. The rubber cylinder and the green sphere collide
B. The metal object collides with the green sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10064_1,Are there any stationary brown objects when the video begins?,,1,1.0
video_10064_2,"Without the cube, what will happen?
Options:
A. The rubber cylinder and the green metal cylinder collide
B. The gray object and the green metal object collide
C. The gray cylinder and the rubber cylinder collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10064_3,How many metal spheres enter the scene?,,1,1.0
video_10064_4,"If the blue sphere is removed, which event will not happen?
Options:
A. The yellow sphere and the red object collide
B. The yellow object collides with the cylinder
C. The cylinder and the red object collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10064_5,What material is the moving object when the video begins?,,1,1.0
video_10064_6,"If the gray object is removed, what will not happen?
Options:
A. The cube collides with the rubber cylinder
B. The sphere collides with the cube
C. The sphere and the rubber object collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,0,0.0
video_10064_7,What is the material of the last object to collide with the yellow object?,,1,1.0
video_10064_8,"Which of the following will happen if the yellow object is removed?
Options:
A. The cube collides with the sphere
B. The cube collides with the green object
C. The rubber cylinder and the sphere collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,0,0.0
video_10064_9,"Which event will happen next?
Options:
A. The gray object collides with the blue object
B. The cyan object collides with the gray object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10064_10,How many moving cubes are there when the video begins?,,1,1.0
video_10076_0,Are there any moving red objects?,,1,1.0
video_10076_1,How many moving spheres are there?,,1,1.0
video_10076_2,What material is the stationary sphere when the cube enters the scene?,,0,0.0
video_10076_3,"Which of the following is responsible for the purple cylinder's exiting the scene?
Options:
A. the green cylinder's colliding with the sphere
B. the presence of the green object
C. the presence of the yellow cylinder
D. the green cylinder's entering the scene
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10076_4,What is the shape of the brown object that is moving when the yellow cube enters the scene?,,1,1.0
video_10076_5,How many purple objects are moving when the sphere enters the scene?,,1,1.0
video_10076_6,"Which of the following will not happen without the yellow sphere?
Options:
A. The rubber cylinder collides with the cyan sphere
B. The blue object collides with the metal cylinder
C. The metal cylinder and the cyan object collide
D. The rubber cylinder and the cube collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10076_7,What material is the object to collide with the green sphere?,,1,1.0
video_10076_8,How many metal cylinders exit the scene after the rubber object enters the scene?,,1,1.0
video_10076_9,What color is the stationary rubber object when the video ends?,,1,1.0
video_10076_10,What is the shape of the last object to collide with the yellow cube?,,1,1.0
video_10079_0,"Which of the following will not happen if the yellow sphere is removed?
Options:
A. The cube and the cylinder collide
B. The purple sphere and the cylinder collide
C. The cube collides with the purple sphere
D. The purple sphere collides with the gray sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10079_1,How many objects enter the scene?,,1,1.0
video_10079_2,"Which event will happen next?
Options:
A. The sphere collides with the yellow object
B. The yellow object collides with the cube
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10079_3,How many objects are stationary when the video ends?,,1,1.0
video_10079_4,"What will happen next?
Options:
A. The metal cube and the blue cube collide
B. The brown cylinder and the gray cylinder collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10079_5,Are there any moving rubber objects when the video ends?,,1,1.0
video_10079_6,What material is the last object to collide with the purple cylinder?,,1,1.0
video_10079_7,"Which event will happen if the yellow object is removed?
Options:
A. The purple object collides with the rubber cylinder
B. The rubber cylinder and the cyan sphere collide
C. The metal sphere collides with the rubber sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10079_8,"Which of the following is not responsible for the collision between the cylinder and the brown object?
Options:
A. the cylinder's colliding with the cube
B. the red object's colliding with the cube
C. the presence of the red metal sphere
D. the presence of the cube
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10079_9,Are there any stationary red objects?,,1,1.0
video_10079_10,What is the material of the object to collide with the purple sphere?,,1,1.0
video_10094_0,"Which event will happen next?
Options:
A. The cube collides with the purple object
B. The blue sphere collides with the red object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10094_1,Are there collisions after the rubber sphere exits the scene?,,1,1.0
video_10094_2,What is the shape of the last object to collide with the cyan cylinder?,,1,1.0
video_10094_3,What is the material of the object to collide with the gray cylinder?,,1,1.0
video_10094_4,What is the color of the last object to collide with the yellow sphere?,,1,1.0
video_10094_5,What is the shape of the first object that enters the scene?,,1,1.0
video_10094_6,Are there any stationary cylinders when the cube enters the scene?,,1,1.0
video_10094_7,"Which of the following is not responsible for the rubber sphere's exiting the scene?
Options:
A. the presence of the cyan metal object
B. the collision between the brown object and the cylinder
C. the presence of the metal cylinder
D. the metal sphere's colliding with the brown sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10094_8,"Which of the following is responsible for the collision between the red object and the green cylinder?
Options:
A. the presence of the gray object
B. the presence of the blue metal object
C. the collision between the red object and the sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10094_9,What material is the object to collide with the red sphere?,,1,1.0
video_10094_10,"Which event will happen without the cyan cylinder?
Options:
A. The yellow cylinder collides with the red object
B. The red object collides with the sphere
C. The yellow cylinder and the sphere collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10120_0,What color is the metal cylinder that is moving when the video ends?,,1,1.0
video_10120_1,How many rubber objects enter the scene?,,1,1.0
video_10120_2,How many collisions happen after the sphere enters the scene?,,0,0.0
video_10120_3,How many rubber objects are stationary?,,1,1.0
video_10120_4,What color is the stationary cylinder?,,1,1.0
video_10120_5,What material is the purple object that is stationary?,,1,1.0
video_10120_6,What color is the moving metal object when the video ends?,,1,1.0
video_10120_7,Are there any stationary cyan objects when the video begins?,,0,0.0
video_10120_8,"Which of the following will not happen if the cyan object is removed?
Options:
A. The yellow cube and the blue cube collide
B. The yellow object and the rubber cube collide
C. The cylinder collides with the yellow cube
D. The cylinder collides with the rubber object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10120_9,What color is the object that enters the scene?,,1,1.0
video_10120_10,How many cyan objects are moving?,,1,1.0
video_10159_0,"Which of the following is not responsible for the gray sphere's colliding with the red object?
Options:
A. the gray sphere's colliding with the blue object
B. the presence of the blue sphere
C. the presence of the cyan metal object
D. the blue sphere's colliding with the cyan object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10159_1,Are there any stationary green objects when the brown object exits the scene?,,1,1.0
video_10159_2,How many rubber cubes enter the scene?,,1,1.0
video_10159_3,What color is the object to collide with the purple object?,,1,1.0
video_10159_4,What is the color of the object to collide with the brown object?,,1,1.0
video_10159_5,Are there any metal spheres that enter the scene after the brown cylinder enters the scene?,,1,1.0
video_10159_6,"Which event will not happen if the blue object is removed?
Options:
A. The gray cylinder and the sphere collide
B. The sphere and the yellow object collide
C. The yellow cylinder and the green object collide
D. The sphere collides with the green object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10159_7,What is the material of the first object to collide with the red cube?,,0,0.0
video_10159_8,What is the material of the first object to collide with the cyan object?,,1,1.0
video_10159_9,What is the shape of the object to collide with the cyan cylinder?,,1,1.0
video_10159_10,"Which of the following is not responsible for the collision between the sphere and the brown cube?
Options:
A. the cylinder's colliding with the sphere
B. the cyan cube's entering the scene
C. the presence of the cylinder
D. the presence of the green metal object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10172_0,How many yellow cubes enter the scene after the gray object enters the scene?,,1,1.0
video_10172_1,What shape is the object that is moving when the video begins?,,1,1.0
video_10172_2,How many metal objects are moving when the gray cylinder enters the scene?,,1,1.0
video_10172_3,"Which of the following will not happen without the yellow object?
Options:
A. The purple cylinder and the sphere collide
B. The purple object collides with the metal cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10172_4,Are there collisions after the brown sphere enters the scene?,,1,1.0
video_10172_5,How many collisions happen after the gray sphere enters the scene?,,1,1.0
video_10172_6,How many metal objects are moving when the video ends?,,1,1.0
video_10172_7,How many blue objects enter the scene?,,1,1.0
video_10172_8,"Without the purple object, which event will happen?
Options:
A. The metal object and the blue object collide
B. The blue cube and the rubber sphere collide
C. The red object collides with the gray sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10172_9,What is the shape of the first object to collide with the yellow object?,,1,1.0
video_10172_10,Are there any moving red objects when the purple cube enters the scene?,,1,1.0
video_10193_0,How many spheres enter the scene?,,1,1.0
video_10193_1,Are there any objects that enter the scene?,,1,1.0
video_10193_2,What color is the last object that enters the scene?,,0,0.0
video_10193_3,What material is the object to collide with the green sphere?,,1,1.0
video_10193_4,What material is the object to collide with the yellow cylinder?,,1,1.0
video_10193_5,Are there any moving cubes when the video begins?,,0,0.0
video_10193_6,How many collisions happen?,,1,1.0
video_10193_7,Are there any red spheres that enter the scene?,,1,1.0
video_10193_8,"If the yellow sphere is removed, which event will happen?
Options:
A. The red cylinder collides with the rubber sphere
B. The red cylinder collides with the gray object
C. The red object collides with the cube
D. The red cylinder and the brown cylinder collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10193_9,What color is the first object to collide with the blue sphere?,,1,1.0
video_10193_10,What is the color of the first object to collide with the metal cylinder?,,1,1.0
video_10200_0,"Which of the following is responsible for the cyan object's colliding with the purple cylinder?
Options:
A. the metal cube's colliding with the cyan object
B. the presence of the green rubber cube
C. the presence of the green metal object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10200_1,"Which of the following is not responsible for the brown object's colliding with the cyan cylinder?
Options:
A. the rubber cube's entering the scene
B. the presence of the red object
C. the rubber cube's colliding with the metal cylinder
D. the collision between the rubber cube and the cyan cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10200_2,Are there any cylinders that exit the scene?,,1,1.0
video_10200_3,Are there any stationary yellow objects when the cube enters the scene?,,1,1.0
video_10200_4,"If the metal cube is removed, which event will happen?
Options:
A. The cyan object collides with the gray cube
B. The cylinder collides with the blue rubber cube
C. The cyan cube collides with the blue rubber object
D. The sphere collides with the gray cube
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,0,0.0
video_10200_5,What color is the object to collide with the rubber object?,,1,1.0
video_10200_6,What color is the stationary cube when the video begins?,,1,1.0
video_10200_7,How many moving spheres are there when the video ends?,,0,0.0
video_10200_8,How many purple objects are stationary when the sphere enters the scene?,,1,1.0
video_10200_9,"What will happen if the metal sphere is removed?
Options:
A. The gray object and the rubber sphere collide
B. The gray object collides with the cube
C. The green cylinder collides with the rubber sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10200_10,How many moving objects are there?,,1,1.0
video_10203_0,"What will happen without the sphere?
Options:
A. The yellow cylinder and the cube collide
B. The cyan cylinder collides with the yellow object
C. The purple cylinder and the red object collide
D. The purple cylinder collides with the cyan cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10203_1,What shape is the object that is moving when the video begins?,,1,1.0
video_10203_2,What is the color of the cylinder that is stationary when the green cylinder enters the scene?,,1,1.0
video_10203_3,What is the color of the rubber object that is moving when the video begins?,,1,1.0
video_10203_4,What is the shape of the object that enters the scene?,,1,1.0
video_10203_5,How many metal spheres enter the scene?,,0,0.0
video_10203_6,Are there any moving gray objects when the video begins?,,1,1.0
video_10203_7,How many rubber objects enter the scene?,,1,1.0
video_10203_8,How many moving rubber objects are there when the video ends?,,1,1.0
video_10203_9,"Which of the following is not responsible for the gray sphere's exiting the scene?
Options:
A. the presence of the purple object
B. the presence of the brown rubber cylinder
C. the presence of the blue rubber object
D. the gray object's colliding with the blue sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,0,0.0
video_10203_10,How many gray objects are moving when the video begins?,,1,1.0
video_10204_0,What color is the object to collide with the gray cube?,,1,1.0
video_10204_1,What is the material of the red object that is moving when the video begins?,,1,1.0
video_10204_2,"Which of the following is not responsible for the collision between the cyan object and the metal cylinder?
Options:
A. the collision between the sphere and the purple object
B. the sphere's entering the scene
C. the collision between the sphere and the cyan cylinder
D. the presence of the rubber sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10204_3,What material is the second object to collide with the cube?,,1,1.0
video_10204_4,Are there any moving blue objects when the yellow object enters the scene?,,1,1.0
video_10204_5,What is the color of the metal sphere that is stationary when the video begins?,,1,1.0
video_10204_6,What is the shape of the rubber object that is moving when the gray sphere enters the scene?,,1,1.0
video_10204_7,What shape is the rubber object that is moving?,,1,1.0
video_10204_8,What is the color of the first object to collide with the metal sphere?,,1,1.0
video_10204_9,What shape is the object to collide with the gray object?,,1,1.0
video_10204_10,How many purple cylinders enter the scene before the red object enters the scene?,,1,1.0
